SalesKey,Revenue,Orders,DateKey,RegionKey,ProductKey
1,129.93800223203073,1.0,20230101,1,1
2,100.3193637127555,1.0,20230101,1,2
3,135.9649568519371,2.0,20230101,1,4
4,210.49219788543925,2.0,20230101,1,5
5,168.23669084093575,2.0,20230101,1,8
6,159.32839476212854,2.0,20230101,1,10
7,205.3200247589217,4.0,20230101,1,11
8,157.52114166247443,1.0,20230101,1,12
9,117.45080532019423,1.0,20230101,1,13
10,214.24458079884056,5.0,20230101,1,15
11,166.24318461675665,1.0,20230101,1,16
12,105.65563501913036,2.0,20230101,1,17
13,112.04814289990091,1.0,20230101,1,19
14,134.33402698264516,2.0,20230101,1,23
15,94.91123311507066,1.0,20230101,1,24
16,88.83522577756193,1.0,20230101,1,25
17,188.18947462615623,2.0,20230101,1,26
18,189.5083013978008,3.0,20230101,1,27
19,163.86418653682742,2.0,20230101,1,28
20,123.53090271236849,1.0,20230101,2,1
21,175.73017751740602,2.0,20230101,2,2
22,81.53748193145508,1.0,20230101,2,3
23,71.03624791628924,1.0,20230101,2,4
24,183.0689823751068,4.0,20230101,2,5
25,123.95946461129861,1.0,20230101,2,6
26,133.20448224369474,1.0,20230101,2,7
27,129.00095480480434,1.0,20230101,2,10
28,119.33694158940826,1.0,20230101,2,12
29,149.6622394419858,1.0,20230101,2,13
30,164.20551997828017,3.0,20230101,2,18
31,102.59108578600292,1.0,20230101,2,19
32,125.19152225194294,1.0,20230101,2,20
33,159.0074708927619,2.0,20230101,2,21
34,158.344651671541,1.0,20230101,2,22
35,90.6042508999978,1.0,20230101,2,23
36,220.08498722809537,5.0,20230101,2,27
37,143.86431984724877,2.0,20230101,2,28
38,106.25549244167769,2.0,20230101,2,30
39,96.75088159727763,2.0,20230101,3,2
40,90.19022775168649,1.0,20230101,3,3
41,76.56363043219619,1.0,20230101,3,4
42,58.93820124611381,1.0,20230101,3,6
43,93.2678403144199,1.0,20230101,3,7
44,113.14780206493185,2.0,20230101,3,10
45,112.86849237907361,1.0,20230101,3,11
46,66.535240057438,1.0,20230101,3,12
47,76.37928384253469,1.0,20230101,3,14
48,121.33988574156618,1.0,20230101,3,15
49,114.06058638788129,1.0,20230101,3,16
50,92.282273280033,1.0,20230101,3,17
51,115.70741680321969,1.0,20230101,3,20
52,91.22638661130435,1.0,20230101,3,21
53,89.09234843838618,1.0,20230101,3,24
