MarketTradesKey,GoldVolume,QuantityTraded,AvgUnitPrice,DateKey,ItemKey,RealmKey
1,284.9742102775926,2.0,142.0,20230101,1,1
2,220.69235847529887,1.0,221.0,20230101,1,4
3,201.61389443200727,1.0,202.0,20230101,1,7
4,214.01547777051738,17.0,13.0,20230101,1,8
5,258.6952863692175,1.0,259.0,20230101,2,1
6,199.84070952754956,1.0,200.0,20230101,2,3
7,125.37652680552398,1.0,125.0,20230101,2,4
8,165.6527679601806,1.0,166.0,20230101,2,5
9,187.08402159030996,1.0,187.0,20230101,2,6
10,143.3537886348304,1.0,143.0,20230101,3,2
11,183.8844173303655,1.0,184.0,20230101,3,5
12,66.80784615212931,1.0,67.0,20230101,3,7
13,45.61596141745953,1.0,46.0,20230101,4,2
14,84.09829486287796,1.0,84.0,20230101,4,3
15,76.70350638637743,1.0,77.0,20230101,4,8
16,66.05169485220355,1.0,66.0,20230101,5,3
17,78.531215943402,1.0,79.0,20230101,5,4
18,79.79085520166632,1.0,80.0,20230101,5,5
19,40.968552695833864,1.0,41.0,20230101,5,6
20,72.84910843880927,1.0,73.0,20230101,5,8
21,88.60398525245475,1.0,89.0,20230101,6,2
22,62.44686814280722,1.0,62.0,20230101,6,3
23,76.19792624376036,1.0,76.0,20230101,6,4
24,53.53924746730799,1.0,54.0,20230101,6,6
25,46.838073406680536,1.0,47.0,20230101,6,7
26,75.24498343744547,1.0,75.0,20230101,7,2
27,74.75749728568852,1.0,75.0,20230101,7,3
28,56.17651819841688,1.0,56.0,20230101,7,4
29,46.31470501845154,1.0,46.0,20230101,7,5
30,27.305849342221236,1.0,27.0,20230101,7,6
31,26.60125252552751,1.0,27.0,20230101,7,7
32,35.650391091603225,1.0,36.0,20230101,7,8
33,29.993289790905536,1.0,30.0,20230101,8,2
34,98.61416224820749,1.0,99.0,20230101,8,4
35,67.52649062437783,1.0,68.0,20230101,8,5
36,30.273466316244185,1.0,30.0,20230101,8,6
37,53.57260342234169,1.0,54.0,20230101,8,8
38,34.58798621948814,1.0,35.0,20230101,9,3
39,42.73522395284938,1.0,43.0,20230101,9,4
40,47.45000154430665,1.0,47.0,20230101,9,5
41,34.65381419140796,1.0,35.0,20230101,9,6
42,42.04607571003656,1.0,42.0,20230101,9,7
43,23.489847833801935,1.0,23.0,20230101,9,8
44,40.656501141280124,1.0,41.0,20230101,10,3
45,26.82151574768095,1.0,27.0,20230101,10,4
46,48.30979787767152,1.0,48.0,20230101,10,6
47,22.461937854113636,1.0,22.0,20230101,10,7
48,37.48480435539769,1.0,37.0,20230101,10,8
49,60.33696416618267,1.0,60.0,20230101,11,1
50,24.74451952831047,1.0,25.0,20230101,11,2
51,70.35346089110334,1.0,70.0,20230101,11,3
52,34.58290851551168,1.0,35.0,20230101,11,4
53,48.545798457788976,1.0,49.0,20230101,11,5
54,24.31678343009291,1.0,24.0,20230101,11,6
55,25.86731580758779,1.0,26.0,20230101,11,8
56,27.50530583826341,1.0,28.0,20230101,12,2
57,38.883136301536176,1.0,39.0,20230101,12,4
