MonsterKillsKey,MonstersSlain,PartyWipes,GoldEarned,DamageDealt,DateKey,AdventurerKey,MonsterKey
1,115.23461022415698,0.01891634547292723,4364.0,114790.0,20230101,1,4
2,14.99855104050953,0.01853483138049119,717.0,8253.0,20230101,1,17
3,11.855959860015954,0.08623712876415164,1259.0,7411.0,20230101,1,26
4,6.113231014165341,0.018972775798342136,619.0,5168.0,20230101,2,20
5,9.511822151435464,0.08612649648204199,331.0,8502.0,20230101,2,25
6,12.266773216408064,0.019164293853716284,1278.0,13116.0,20230101,3,9
7,6.4247777774304415,0.018594037225442592,736.0,2755.0,20230101,3,18
8,8.943615335212264,0.08417281233850961,882.0,3071.0,20230101,3,25
9,5.152513164781012,0.018594861115095253,246.0,572.0,20230101,4,20
10,7.516428417480682,0.08642978035515364,182.0,4649.0,20230101,4,27
11,7.179708818262761,0.08528239878683859,634.0,7720.0,20230101,4,28
12,37.0604158699,0.01857217488512155,1549.0,15307.0,20230101,5,2
13,5.265877736772055,0.018242750686871447,70.0,3681.0,20230101,5,16
14,6.4888346613918895,0.08583598546102524,437.0,6673.0,20230101,5,26
15,2.899660301002469,0.16630605222245146,117.0,1404.0,20230101,5,30
16,4.719397425420778,0.01931725727958824,657.0,1625.0,20230101,6,17
17,2.812598000157036,0.17055656422400753,214.0,2252.0,20230101,6,29
18,10.405271281883229,0.06932182418416058,1207.0,7212.0,20230101,7,25
19,19.523581876249064,0.014610240481076914,2573.0,10646.0,20230101,8,5
20,13.750346151264823,0.01470231842087619,1637.0,14737.0,20230101,8,8
21,8.713404689137665,0.06803811663210356,135.0,1177.0,20230101,8,28
22,6.764996928219698,0.014765456807795832,671.0,6875.0,20230101,10,17
23,8.067163118605555,0.0679247059909359,495.0,6129.0,20230101,10,28
24,3.722477053225346,0.1321879949411609,439.0,1324.0,20230101,10,32
25,7.6873744340804295,0.014472581494165386,961.0,3836.0,20230101,11,14
26,6.252204489184691,0.014098896466725998,46.0,2940.0,20230101,11,17
27,7.805327016948331,0.06573096419643597,935.0,8030.0,20230101,11,27
28,7.425899317590144,0.014468970888925568,789.0,7816.0,20230101,12,13
29,8.808515667596756,0.06787402741314325,1114.0,5926.0,20230101,12,22
30,3.432585922048759,0.1274905534828542,128.0,352.0,20230101,12,29
31,13.597610220749848,0.009940831585024254,639.0,7116.0,20230101,13,6
32,9.001950133782461,0.010155296024827046,727.0,10048.0,20230101,13,11
33,9.128383020859577,0.04656463496759416,1266.0,3406.0,20230101,13,22
34,8.567744705624612,0.04867831423192034,742.0,6247.0,20230101,14,22
35,6.680628555265878,0.04763956880133708,885.0,6209.0,20230101,14,28
36,3.268797693679921,0.09335363819404172,407.0,1980.0,20230101,14,30
37,6.546265373519367,0.009915649183176278,813.0,1330.0,20230101,15,13
38,4.856778315705696,0.009953153862277634,546.0,2684.0,20230101,15,18
39,5.238261267991749,0.009853428029626155,480.0,3035.0,20230101,16,17
40,9.84538004253433,0.010033561830725504,1355.0,10706.0,20230101,17,8
41,7.946369029540705,0.01185410132376679,656.0,8027.0,20230101,19,15
42,16.268499102599236,0.011916506903057025,1825.0,13728.0,20230101,20,3
43,19.619578111034624,0.011885478347851908,730.0,22576.0,20230101,20,4
44,5.704580166574121,0.01179548408488964,595.0,6078.0,20230101,20,19
45,8.167864969856144,0.054184331121154526,662.0,1332.0,20230101,20,26
46,7.809494818709276,0.05429413883867156,391.0,6185.0,20230101,20,27
47,3.4721686798970275,0.10256727460640447,344.0,1884.0,20230101,20,31
48,12.965771632499413,0.01127586660340565,1252.0,6693.0,20230101,21,7
49,3.6161393096815,0.10101772660883719,382.0,483.0,20230101,21,30
50,12.91665371655924,0.011776192209872137,285.0,3930.0,20230101,23,7
51,8.221125478487073,0.05328789420191877,446.0,5770.0,20230101,23,25
52,13.156292179610556,0.01168226512905544,344.0,11634.0,20230101,24,6
53,3.441782819614422,0.10278622874746554,158.0,1575.0,20230101,24,29
54,3.2055175099612616,0.10253041266827845,74.0,1994.0,20230101,24,31
55,6.322797186651995,0.022227733957726113,144.0,5258.0,20230101,25,16
56,3.5561720389439637,0.1984685014159603,120.0,3468.0,20230101,25,29
57,45.02941173838743,0.023756109715202575,5176.0,13614.0,20230101,26,2
58,7.616524416357499,0.10939981897701107,796.0,1010.0,20230101,26,24
59,3.2733273965245817,0.20835277115574471,326.0,2052.0,20230101,26,29
60,36.93433513451803,0.02293024343174069,1969.0,40043.0,20230101,27,2
61,8.138599193154324,0.02335041597814889,414.0,3298.0,20230101,27,11
62,4.921111011543808,0.023070518258431632,493.0,2523.0,20230101,27,19
63,46.33006341373181,0.02324655282204426,4239.0,41126.0,20230101,28,1
64,23.729977201007333,0.02365436845346,2006.0,24670.0,20230101,28,2
65,10.725376207193117,0.023132342802355394,952.0,7507.0,20230101,30,7
66,99.08602742396627,0.015611753643159976,10529.0,48725.0,20230101,31,1
67,11.426325346921546,0.01631388244296312,338.0,3304.0,20230101,32,8
68,3.5428401431168965,0.14794054475184001,388.0,2826.0,20230101,32,30
69,13.603646684689688,0.01568102536646095,1474.0,2079.0,20230101,34,6
70,7.258890047086708,0.016192382845466126,1005.0,7912.0,20230101,35,14
71,5.647142969258958,0.01586616830794586,210.0,537.0,20230101,35,18
72,9.244244858590562,0.07369796912635242,397.0,3487.0,20230101,35,21
73,7.708482567095852,0.07339315039647468,509.0,3520.0,20230101,35,26
74,7.040096168359565,0.07256559505253747,896.0,4307.0,20230101,35,28
75,14.25129180397033,0.015522606133186803,143.0,15919.0,20230101,36,5
