LootDropsKey,DropCount,LootGoldValue,DateKey,MonsterKey,ItemKey
1,88.12210736265742,17849.0,20230101,3,5
2,24.35925936259547,1958.0,20230101,3,13
3,4.307499116848762,736.0,20230101,3,22
4,12.332735159134101,3167.0,20230101,3,28
5,9.176976593698198,768.0,20230101,3,30
6,40.44772217453159,1616.0,20230101,4,5
7,2.339890487355799,162.0,20230101,4,32
8,4.6727648201592356,396.0,20230101,4,46
9,7.905379144039742,619.0,20230101,5,28
10,32.10023263476012,7187.0,20230101,8,4
11,10.239043691576994,2145.0,20230101,8,10
12,1.304589224098461,62.0,20230101,8,32
13,21.318600620410276,1380.0,20230101,9,4
14,5.246286149280783,1218.0,20230101,9,25
15,0.9681216331798709,196.0,20230101,10,32
16,0.8135637230216359,151.0,20230101,10,42
17,16.19072061655291,211.0,20230101,11,5
18,6.743733991486971,525.0,20230101,11,11
19,7.150937913948971,1369.0,20230101,12,14
20,4.471296475825159,709.0,20230101,12,19
21,2.8781691872368893,352.0,20230101,13,35
22,4.214596675354432,303.0,20230101,14,19
23,2.7896616938698156,373.0,20230101,14,38
24,0.7460948648897135,13.0,20230101,14,42
25,5.746490537694707,262.0,20230101,15,16
26,2.752253782084767,59.0,20230101,15,29
27,5.651763164011564,410.0,20230101,17,14
28,2.4116109902174365,270.0,20230101,17,33
29,2.5522726853288966,189.0,20230101,17,34
30,2.890311469148736,466.0,20230101,20,28
31,20.012788990092734,2149.0,20230101,24,8
32,21.58869557045974,1463.0,20230101,25,8
33,57.49609030183977,6024.0,20230101,26,4
34,15.347302195400225,3012.0,20230101,27,13
35,5.657586230428063,442.0,20230101,28,30
36,1.7905815923558746,132.0,20230101,28,32
37,4.431983422334595,1048.0,20230101,28,39
38,4.503724214636832,974.0,20230101,29,39
39,17.018023193277585,4359.0,20230101,31,9
40,11.61167377551191,1875.0,20230101,31,18
41,6.85438359129672,404.0,20230101,31,21
42,8.011853499808565,1803.0,20230101,31,27
43,16.15542339243735,2738.0,20230101,32,9
44,7.628256537330631,1639.0,20230101,32,24
45,27.061541944158193,2638.0,20230102,1,25
46,24.742546439628796,4358.0,20230102,1,26
47,18.48127936409809,1500.0,20230102,3,14
48,86.36325417739862,14972.0,20230102,4,2
49,3.89271030232198,834.0,20230102,5,44
50,5.520122719722892,939.0,20230102,7,23
51,3.8065183771961615,284.0,20230102,7,33
52,21.565334315390313,5079.0,20230102,8,3
53,15.496056489822735,354.0,20230102,9,6
54,1.665150010361636,265.0,20230102,9,47
55,3.1127855154025768,69.0,20230102,11,21
56,12.98264344229577,1944.0,20230102,12,6
57,5.993483610901984,1158.0,20230102,12,14
58,1.5765384027246565,324.0,20230102,12,46
59,0.7208683542747591,98.0,20230102,13,32
